user_id,treatment,platform,user_type,country,conversion,bounced,session_length
0,0,mobile,returning,INTL,0,1,9.011960098695043
1,1,mobile,new,US,0,0,5.314647655601523
2,1,mobile,new,INTL,0,0,2.07766557819388
3,1,mobile,returning,US,0,1,6.824541838370616
4,0,mobile,returning,US,0,0,9.945790666621665
5,0,desktop,returning,INTL,0,0,6.59421804313882
6,0,mobile,returning,INTL,0,0,7.37203495916689
7,1,mobile,new,US,0,1,8.94158394977637
8,1,desktop,returning,INTL,0,0,8.688846812959165
9,1,desktop,new,US,0,0,5.313009073621921
10,0,desktop,returning,US,1,1,7.484412067832339
11,1,desktop,new,INTL,0,0,6.259589432537579
12,1,desktop,new,INTL,0,0,6.727362424833249
13,0,mobile,new,INTL,0,1,2.4663577317441314
14,0,mobile,new,US,0,0,2.3490966625650644
15,0,mobile,returning,INTL,0,1,6.702929240286755
16,0,mobile,returning,US,0,0,7.969234904730006
17,1,mobile,returning,US,0,1,7.413353896538007
18,0,mobile,returning,INTL,0,0,5.644812169492906
19,0,mobile,new,US,0,0,5.392824519426641
20,1,mobile,new,INTL,0,0,4.692241651646455
21,0,mobile,new,US,1,1,4.425228884995666
22,0,desktop,new,US,0,0,4.8982644684168175
23,0,mobile,returning,INTL,0,1,7.110248724647486
24,0,desktop,returning,INTL,0,0,8.896450459632836
25,1,mobile,new,US,0,1,4.810304286166217
26,0,desktop,new,US,0,0,3.9865744963121417
27,1,desktop,new,INTL,0,0,7.132570123537241
28,1,mobile,new,US,0,0,2.749061055235495
29,0,mobile,new,US,0,0,3.13063698840237
30,1,mobile,returning,INTL,0,1,6.932273932707647
31,0,desktop,new,US,0,0,5.324670555980609
32,0,desktop,returning,INTL,0,1,8.3091805332378
33,1,desktop,new,INTL,0,0,3.9280184863550724
34,1,mobile,new,INTL,0,1,6.139620697974602
35,1,mobile,returning,US,0,0,9.872106770321544
36,0,desktop,returning,INTL,0,0,8.167527426821819
37,0,mobile,new,US,1,0,6.174015616029716
38,1,mobile,returning,US,0,0,4.1272884906272385
39,0,mobile,new,US,0,0,5.0476650774788405
40,0,desktop,new,US,0,0,4.6560052576530335
41,0,mobile,returning,US,0,1,6.9128429614054605
42,0,mobile,returning,US,0,0,7.2137487753065175
43,1,mobile,new,US,0,1,3.9634273416351267
44,0,desktop,new,US,0,0,3.5176005525613885
45,1,mobile,returning,INTL,1,0,6.56909805383346
46,0,mobile,new,US,0,0,4.137477850943116
47,1,mobile,new,INTL,0,0,5.982500028966256
48,1,desktop,returning,US,0,0,8.695494548626371
49,0,desktop,returning,INTL,0,1,8.697550019945856
50,1,desktop,new,US,0,0,7.165179579887779
51,1,mobile,returning,INTL,0,1,6.0605813069281105
52,1,desktop,returning,US,1,0,8.604683535866801
53,1,mobile,returning,INTL,0,1,8.905329677901415
54,1,mobile,returning,US,0,1,5.955758416263821
55,1,mobile,returning,INTL,0,1,4.256243117878108
56,0,mobile,new,INTL,0,0,4.663961146173914
57,0,desktop,new,US,0,0,7.134781239852822
58,0,mobile,returning,US,0,0,6.770395435638161
59,0,mobile,returning,INTL,0,0,7.502351195287119
60,0,mobile,returning,US,0,0,7.0304573930795495
61,0,mobile,returning,US,0,0,7.91446956115994
62,1,mobile,returning,INTL,0,1,5.727246560828202
63,0,mobile,returning,US,0,0,5.975313616575994
64,0,mobile,returning,INTL,0,1,7.538729643699523
65,1,mobile,returning,US,1,0,6.894386819383012
66,0,mobile,new,US,0,1,7.374722031631104
67,1,desktop,returning,US,0,1,8.299393262344468
68,0,mobile,returning,INTL,0,0,6.442427366045979
69,1,desktop,returning,INTL,1,1,7.10247712121123
70,1,desktop,returning,US,1,1,9.270239203100886
71,0,desktop,new,US,0,0,5.064275557462614
72,0,mobile,returning,US,1,1,6.560339661347474
73,1,mobile,returning,INTL,0,0,7.423493527188047
74,1,desktop,returning,US,1,0,7.015167740536741
75,1,mobile,returning,US,0,0,8.017217238305856
76,1,mobile,new,US,0,0,5.344449215143551
77,0,mobile,returning,US,1,0,6.47892963771963
78,0,mobile,returning,US,0,1,10.877452833336259
79,0,desktop,returning,US,1,1,8.015576733110764
80,1,mobile,returning,INTL,0,1,3.304337205192052
81,1,mobile,returning,INTL,0,0,7.870832136172476
82,0,mobile,new,INTL,0,1,1.8025910225724653
83,0,mobile,returning,US,0,0,9.75974502971201
84,0,mobile,new,US,0,1,5.785593635882582
85,0,mobile,returning,US,0,0,7.980727114867347
86,1,desktop,new,INTL,0,1,5.573025357761927
87,1,mobile,new,US,0,1,5.55261651818044
88,1,desktop,returning,INTL,0,1,7.352267283149843
89,0,mobile,returning,US,0,1,8.0576626703111
90,0,mobile,returning,INTL,0,1,8.250059753379494
91,1,mobile,returning,INTL,0,1,2.8510663627837953
92,1,mobile,returning,US,0,1,8.0639545868213
93,1,desktop,returning,INTL,0,1,9.217153938951663
94,1,desktop,returning,INTL,0,0,8.751145905149178
95,0,mobile,returning,INTL,0,1,8.645075605636363
96,1,mobile,returning,INTL,0,0,9.567178258152747
97,0,desktop,returning,US,0,1,8.006419150042296
98,0,mobile,returning,INTL,0,0,8.058053019696635
99,0,mobile,new,INTL,0,1,4.594275159845845
100,0,desktop,returning,US,0,0,5.201893120189938
101,1,mobile,new,US,0,0,5.359407222040631
102,0,desktop,new,US,0,1,4.756216095592238
103,1,mobile,new,US,0,0,1.7855214473364631
104,1,desktop,returning,INTL,0,0,7.95971779132943
105,0,mobile,new,US,0,1,5.417789574685033
106,0,mobile,returning,US,0,0,7.7272484908382
107,1,mobile,returning,US,0,0,7.376003324621731
108,0,mobile,returning,US,1,1,5.731050090094301
109,0,mobile,returning,US,1,1,9.560723976498515
110,0,mobile,returning,US,0,0,8.72279813049993
111,0,mobile,returning,US,0,0,9.936655909141425
112,1,desktop,returning,INTL,0,0,7.240597223373884
113,1,mobile,returning,US,0,0,7.817780897610753
114,1,mobile,returning,US,0,0,4.369524094010995
115,1,mobile,returning,US,0,0,5.922377335825189
116,1,mobile,new,US,1,0,2.614281260837033
117,0,mobile,returning,US,1,1,8.462318138209072
118,1,mobile,new,US,0,0,3.0158465554248632
119,1,desktop,new,US,1,0,4.916463403541978
120,1,mobile,returning,US,0,1,7.1665658440803455
121,1,mobile,returning,US,0,0,6.561327029946279
122,0,desktop,returning,INTL,0,0,6.098267360893733
123,0,desktop,returning,US,0,0,10.54166094336266
124,0,mobile,returning,INTL,1,0,8.24559210367909
125,0,desktop,new,INTL,0,0,8.055150964127943
126,1,mobile,returning,INTL,0,0,5.624793810873651
127,1,desktop,new,US,0,1,5.008955426810075
128,0,mobile,new,INTL,1,1,5.7031219123587755
129,1,mobile,returning,US,1,0,9.471236373189903
130,0,desktop,new,US,0,0,8.044549443297576
131,0,mobile,new,US,0,0,4.921398665068311
132,0,mobile,returning,INTL,1,1,6.978162480026079
133,0,mobile,new,US,0,0,5.564452803223193
134,1,mobile,new,INTL,1,0,6.4731029828354965
135,0,mobile,new,US,0,0,5.776311001185628
136,1,mobile,new,INTL,0,0,5.149943808917464
137,1,mobile,new,INTL,0,0,6.459191806212556
138,0,mobile,returning,INTL,0,1,9.617228797974603
139,1,mobile,new,US,0,1,6.275213628984315
140,1,mobile,returning,INTL,0,1,8.233063403122463
141,0,mobile,new,INTL,1,0,7.728144990206386
142,0,desktop,returning,US,1,0,6.377426468415832
143,0,mobile,returning,US,0,0,11.573893999487865
144,0,mobile,returning,INTL,0,0,9.7905387485992
145,0,desktop,returning,US,0,0,7.959537476184332
146,1,desktop,returning,INTL,1,0,9.864572108892835
147,1,mobile,new,US,0,1,4.278830393620606
148,0,desktop,returning,US,1,0,8.912238291433072
149,0,mobile,returning,US,0,0,9.087962307796612
150,1,desktop,new,US,0,0,6.9932274572819795
151,0,mobile,new,US,0,0,5.010488034731806
152,0,mobile,new,INTL,0,0,7.025075150863659
153,0,mobile,returning,US,0,0,7.537147234003533
154,1,desktop,new,INTL,1,0,6.796460712380303
155,0,mobile,new,INTL,0,0,5.673181661533836
156,1,mobile,returning,US,1,0,4.5640603225613425
157,1,mobile,returning,US,0,1,6.1948609198350795
158,0,desktop,new,US,0,0,6.972183898218049
159,1,desktop,new,US,0,0,5.244524344706219
160,0,mobile,returning,US,0,1,10.020321768711298
161,1,mobile,returning,US,1,0,5.480060983016722
162,1,mobile,returning,INTL,0,0,8.344206517616213
163,1,mobile,returning,US,0,0,7.228701557441167
164,0,desktop,new,US,0,1,5.329822164936189
165,1,mobile,new,INTL,1,1,3.0325414944085023
166,0,mobile,returning,INTL,0,1,8.515030516118049
167,0,mobile,returning,INTL,0,1,6.686654724713807
168,0,mobile,returning,INTL,0,0,7.245908646176945
169,1,mobile,returning,US,0,1,7.08899818238339
170,1,mobile,returning,INTL,0,0,6.751412088434295
171,0,mobile,new,INTL,0,0,7.2416847272486
172,1,mobile,new,US,0,0,0.9147701262472241
173,0,mobile,new,US,0,0,5.432436717635826
174,1,mobile,new,US,0,0,4.255832092893458
175,0,mobile,new,US,0,0,5.6872334713543555
176,1,desktop,returning,US,0,0,7.383587843588948
177,0,mobile,new,INTL,0,0,7.235821702465746
178,1,mobile,new,US,0,1,4.413430752509071
179,0,desktop,new,US,0,0,5.899419402683276
180,0,mobile,returning,US,0,1,9.538383717259139
181,0,mobile,returning,INTL,0,0,8.278003806781008
182,1,mobile,returning,US,0,1,5.396185711641246
183,1,mobile,returning,US,0,0,6.660123503822784
184,0,mobile,returning,INTL,0,0,8.013824333722841
185,1,mobile,new,US,1,1,2.330156724749922
186,1,desktop,new,US,0,1,4.632286076910004
187,1,desktop,new,US,0,0,5.597599919284431
188,1,mobile,returning,INTL,0,0,10.318305909604879
189,0,mobile,new,INTL,0,0,6.2566529404940265
190,0,mobile,new,US,0,0,5.936608609626585
191,1,mobile,returning,US,0,1,9.835941953509408
192,1,mobile,returning,INTL,0,0,8.181772136393983
193,1,desktop,returning,INTL,0,0,9.293342404577944
194,0,mobile,new,INTL,1,1,5.08965632650322
195,0,desktop,returning,INTL,0,0,6.301788260726067
196,1,desktop,returning,US,0,0,8.592471325746326
197,1,desktop,new,INTL,0,0,8.433298606932745
198,1,mobile,returning,INTL,0,1,9.569548056656188
199,1,mobile,returning,INTL,0,0,8.286761198570497
200,1,mobile,new,INTL,0,0,3.7700932229625153
201,0,mobile,new,US,0,0,3.374048978264623
202,0,mobile,returning,INTL,1,0,6.966629076623832
203,1,mobile,new,INTL,0,0,5.1265673992701455
204,1,mobile,returning,INTL,0,0,6.593483238038068
205,0,mobile,new,US,0,0,7.203083526852568
206,0,desktop,returning,INTL,0,0,5.96621788998238
207,1,mobile,returning,INTL,1,0,7.10686215388745
208,0,mobile,returning,US,1,1,7.049967170154073
209,0,mobile,new,INTL,0,0,7.18693134066687
210,1,desktop,new,INTL,0,1,6.513916459035835
211,1,mobile,new,US,0,0,3.553491659465057
212,1,mobile,new,US,1,0,6.081314581833665
213,0,mobile,new,US,0,1,3.265854822021789
214,1,desktop,returning,US,0,1,5.520257554961606
215,0,desktop,new,US,0,0,4.372244757301317
216,0,mobile,returning,US,0,0,5.225648432036463
217,1,mobile,returning,US,0,1,7.1311549001942645
218,1,mobile,returning,US,0,0,7.1788179234032885
219,1,mobile,returning,US,0,1,6.69174446284414
220,1,mobile,new,INTL,0,1,5.608373540364074
221,1,desktop,returning,US,0,0,7.114912420927895
222,0,desktop,returning,INTL,0,1,6.253546002977669
223,0,mobile,returning,US,1,0,7.004152354144489
224,0,mobile,returning,US,0,1,6.369435986093924
225,0,mobile,returning,US,0,0,7.282365461803479
